,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
230,INC2010-141,Release of Substance,11/27/2010,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Natural Gas - Sweet,
231,INC2010-143,Release of Substance,11/30/2010,Saskatchewan,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,
232,INC2010-145,Release of Substance,12/01/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
233,INC2010-147,Release of Substance,12/01/2010,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.5
234,INC2010-148,Release of Substance,12/03/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
235,INC2010-149,Operation Beyond Design Limits,12/03/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
236,INC2010-150,Release of Substance,12/06/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
237,INC2010-151,Operation Beyond Design Limits,12/08/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
238,INC2010-153,Release of Substance,12/10/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,2.8
239,INC2010-155,Release of Substance,12/13/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
240,INC2010-156,"Release of Substance, Adverse Environmental Effects",12/13/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,
241,INC2010-157,Release of Substance,12/15/2010,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
242,INC2010-158,Fire,12/17/2010,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
243,INC2010-159,Release of Substance,12/17/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
244,INC2010-164,Release of Substance,12/22/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
245,INC2010-165,Serious Injury (CER or TSB),12/30/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
246,INC2010-167,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
247,INC2010-168,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
248,INC2010-169,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
249,INC2010-170,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
250,INC2010-171,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
251,INC2010-172,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
252,INC2010-173,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
253,INC2010-174,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
254,INC2010-175,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
255,INC2010-176,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
256,INC2010-177,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
257,INC2011-003,Fire,01/09/2011,Alberta,Alliance Pipeline Ltd.,Not Applicable,
258,INC2011-004,Release of Substance,01/13/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,192.0
259,INC2011-007,Release of Substance,01/20/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,4.2
260,INC2011-008,Release of Substance,01/21/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1000.0
261,INC2011-011,Release of Substance,01/31/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
262,INC2011-012,Operation Beyond Design Limits,01/31/2011,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
263,INC2011-013,Release of Substance,02/02/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,37.0
264,INC2011-014,Fire,02/02/2011,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
265,INC2011-016,Release of Substance,02/03/2011,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Natural Gas - Sweet,2.0
266,INC2011-017,Release of Substance,02/04/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
267,INC2011-018,Release of Substance,02/07/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
268,INC2011-019,Fire,02/08/2011,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
269,INC2011-026,Release of Substance,02/14/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
270,INC2011-027,Release of Substance,02/18/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
271,INC2011-029,"Fire, Release of Substance",02/20/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,2790000.0
272,INC2011-030,Release of Substance,02/20/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
273,INC2011-032,Release of Substance,02/23/2011,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,3.0
274,INC2011-035,Fire,03/02/2011,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
275,INC2011-036,Release of Substance,03/02/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
276,INC2011-038,Release of Substance,03/07/2011,British Columbia,Trans Mountain Pipeline ULC,Waste Oil,11.0
277,INC2011-042,Release of Substance,03/13/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
278,INC2011-044,Release of Substance,03/17/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
279,INC2011-045,Release of Substance,03/18/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
280,INC2011-046,Release of Substance,03/21/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
281,INC2011-048,Release of Substance,03/24/2011,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,170.0
282,INC2011-053,Release of Substance,03/31/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1000.0
283,INC2011-054,Fatality,04/01/2011,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
284,INC2011-055,Release of Substance,04/01/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
285,INC2011-056,Release of Substance,04/03/2011,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
286,INC2011-058,"Release of Substance, Operation Beyond Design Limits",04/05/2011,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
287,INC2011-059,Release of Substance,04/06/2011,Alberta,Enbridge Pipelines Inc.,Natural Gas Liquids,
288,INC2011-061,Release of Substance,04/14/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
289,INC2011-063,Release of Substance,04/17/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
290,INC2011-064,Release of Substance,04/21/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
291,INC2011-065,Release of Substance,04/22/2011,Alberta,Trans Mountain Pipeline ULC,Crude Oil - Sweet,1.6
292,INC2011-066,Release of Substance,04/26/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,1300.0
293,INC2011-067,Release of Substance,04/25/2011,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
294,INC2011-068,Fire,04/28/2011,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
295,INC2011-070,Fire,05/03/2011,Ontario,TransCanada PipeLines Limited,Not Applicable,
296,INC2011-071,Release of Substance,05/03/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,50.0
297,INC2011-073,Release of Substance,05/07/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,10.0
298,INC2011-074,Release of Substance,05/09/2011,Northwest Territories,Enbridge Pipelines (NW) Inc.,Crude Oil - Sweet,259.0
299,INC2011-075,Release of Substance,05/12/2011,Quebec,Enbridge Pipelines Inc.,Crude Oil - Sweet,4.0
300,INC2011-082,Serious Injury (CER or TSB),05/18/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
301,INC2011-085,Release of Substance,05/27/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2.0
302,INC2011-087,Release of Substance,06/05/2011,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
303,INC2011-089,Release of Substance,06/06/2011,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,
304,INC2011-090,Fatality,06/07/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
305,INC2011-092,Release of Substance,06/09/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,3.6
306,INC2011-094,Release of Substance,06/17/2011,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,1e-04
307,INC2011-095,Operation Beyond Design Limits,06/21/2011,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
308,INC2011-099,Release of Substance,06/27/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
309,INC2011-100,Release of Substance,06/27/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
310,INC2011-101,Release of Substance,06/27/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
311,INC2011-102,Release of Substance,06/27/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
312,INC2011-104,Release of Substance,06/30/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
313,INC2011-105,Fire,07/07/2011,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
314,INC2011-106,Release of Substance,07/08/2011,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
315,INC2011-109,Release of Substance,07/22/2011,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,113.0
316,INC2011-114,Release of Substance,08/04/2011,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,934.0
317,INC2011-115,Release of Substance,08/04/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
318,INC2011-116,Fire,08/04/2011,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
319,INC2011-119,Fire,08/06/2011,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
320,INC2011-120,Fire,08/06/2011,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
321,INC2011-125,Fire,08/09/2011,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
322,INC2011-127,Release of Substance,08/16/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
323,INC2011-129,Operation Beyond Design Limits,08/17/2011,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
324,INC2011-131,Fire,08/21/2011,Saskatchewan,TransCanada PipeLines Limited,Not Applicable,
325,INC2011-132,Fire,08/22/2011,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
326,INC2011-133,Fire,08/23/2011,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
327,INC2011-134,Fire,08/29/2011,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
328,INC2011-135,Release of Substance,08/31/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
329,INC2011-136,Serious Injury (CER or TSB),09/01/2011,Ontario,TransCanada PipeLines Limited,Not Applicable,
330,INC2011-138,Release of Substance,09/02/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
331,INC2011-141,Release of Substance,09/08/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
332,INC2011-142,Release of Substance,09/09/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
333,INC2011-143,Release of Substance,09/09/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
334,INC2011-146,Fire,09/10/2011,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
335,INC2011-152,Release of Substance,09/20/2011,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
336,INC2011-153,Release of Substance,09/26/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
337,INC2011-154,Release of Substance,09/28/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
338,INC2011-155,Release of Substance,10/01/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
339,INC2011-157,Fatality,10/12/2011,Ontario,Niagara Gas Transmission Limited,Not Applicable,
340,INC2011-158,Release of Substance,10/13/2011,Northwest Territories,Enbridge Pipelines (NW) Inc.,Propane,0.0005
341,INC2011-160,Operation Beyond Design Limits,10/14/2011,Ontario,Ethane Shippers Joint Venture,Not Applicable,
342,INC2011-162,Release of Substance,10/19/2011,Northwest Territories,Enbridge Pipelines (NW) Inc.,Mixed HVP Hydrocarbons,
343,INC2011-163,Release of Substance,10/19/2011,Northwest Territories,Enbridge Pipelines (NW) Inc.,Propane,0.001
344,INC2011-165,Fire,10/24/2011,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
345,INC2011-166,Release of Substance,10/26/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
346,INC2011-167,Fire,10/31/2011,Ontario,TransCanada PipeLines Limited,Not Applicable,
347,INC2011-168,Fire,11/04/2011,British Columbia,Foothills Pipe Lines Ltd.,Not Applicable,
348,INC2011-171,Release of Substance,11/20/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,50.0
349,INC2011-172,Release of Substance,11/20/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
350,INC2011-173,Release of Substance,11/21/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,4.0
351,INC2011-174,Fire,11/21/2011,Ontario,TransCanada PipeLines Limited,Not Applicable,
352,INC2011-175,Operation Beyond Design Limits,11/24/2011,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
353,INC2011-177,Fire,12/02/2011,Ontario,Centra Transmission Holdings Inc.,Not Applicable,
354,INC2011-178,Release of Substance,12/05/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
355,INC2011-179,Release of Substance,12/06/2011,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
356,INC2011-180,Release of Substance,12/07/2011,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,7.0
357,INC2011-183,Release of Substance,12/14/2011,Saskatchewan,Enbridge Pipelines (Westspur) Inc.,Crude Oil - Sweet,2.0
358,INC2011-185,Release of Substance,12/20/2011,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
359,INC2011-186,Release of Substance,12/21/2011,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,236.0
360,INC2012-002,Release of Substance,01/04/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
361,INC2012-003,Release of Substance,01/06/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,6.0
362,INC2012-004,Operation Beyond Design Limits,01/07/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
363,INC2012-005,Serious Injury (CER or TSB),01/09/2012,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
364,INC2012-006,Release of Substance,01/10/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
365,INC2012-007,Release of Substance,01/15/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
366,INC2012-009,Operation Beyond Design Limits,01/17/2012,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
367,INC2012-010,Release of Substance,01/18/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
368,INC2012-011,Fire,01/20/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
369,INC2012-013,Fire,01/19/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
370,INC2012-014,Fire,01/19/2012,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
371,INC2012-015,Fire,01/21/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
372,INC2012-016,Release of Substance,01/24/2012,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,90.0
373,INC2012-017,"Fire, Release of Substance",01/25/2012,British Columbia,NOVA Gas Transmission Ltd.,Propane,0.001
374,INC2012-018,Fire,01/25/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
375,INC2012-019,Release of Substance,01/26/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
376,INC2012-020,Serious Injury (CER or TSB),01/27/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
377,INC2012-021,Release of Substance,02/03/2012,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Natural Gas - Sweet,
378,INC2012-022,"Fire, Release of Substance",02/03/2012,Alberta,NOVA Gas Transmission Ltd.,Mixed HVP Hydrocarbons,
379,INC2012-023,Fire,02/06/2012,Ontario,Enbridge Pipelines Inc.,Not Applicable,
380,INC2012-024,Fire,02/07/2012,Saskatchewan,Foothills Pipe Lines Ltd.,Not Applicable,
381,INC2012-026,Serious Injury (CER or TSB),02/09/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
382,INC2012-027,Release of Substance,02/13/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
383,INC2012-028,Release of Substance,02/13/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
384,INC2012-029,Release of Substance,02/15/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
385,INC2012-031,Fire,02/16/2012,Ontario,TransCanada PipeLines Limited,Not Applicable,
386,INC2012-032,Release of Substance,02/21/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
387,INC2012-038,Release of Substance,02/29/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,65.0
388,INC2012-040,Release of Substance,03/01/2012,Manitoba,TransCanada PipeLines Limited,Fuel Gas,1400.0
389,INC2012-041,Release of Substance,03/02/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
390,INC2012-044,Operation Beyond Design Limits,03/13/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
391,INC2012-045,Release of Substance,03/13/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
392,INC2012-048,Release of Substance,03/29/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
393,INC2012-049,Release of Substance,03/30/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
394,INC2012-051,Release of Substance,04/13/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
395,INC2012-053,Fire,04/23/2012,Alberta,Enbridge Pipelines Inc.,Not Applicable,
396,INC2012-054,Operation Beyond Design Limits,04/23/2012,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
397,INC2012-056,Release of Substance,05/03/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
398,INC2012-057,Fire,05/05/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
399,INC2012-059,Release of Substance,05/08/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
400,INC2012-060,Release of Substance,05/09/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
401,INC2012-061,Release of Substance,05/09/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
402,INC2012-062,Fire,05/14/2012,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
403,INC2012-063,Release of Substance,05/14/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,200.0
404,INC2012-064,Release of Substance,05/15/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
405,INC2012-065,Release of Substance,05/16/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
406,INC2012-067,Fire,05/28/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
407,INC2012-068,Release of Substance,05/30/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
408,INC2012-069,Operation Beyond Design Limits,05/31/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
409,INC2012-070,Serious Injury (CER or TSB),06/06/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
410,INC2012-071,Fire,06/08/2012,Ontario,TransCanada PipeLines Limited,Not Applicable,
411,INC2012-072,Fire,06/08/2012,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
412,INC2012-073,Release of Substance,06/13/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
413,INC2012-074,Release of Substance,06/15/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
414,INC2012-075,Release of Substance,06/15/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
415,INC2012-078,"Serious Injury (CER or TSB), Fire, Release of Substance",06/23/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
416,INC2012-079,Release of Substance,06/27/2012,Nova Scotia,ExxonMobil Canada Properties,Condensate,
417,INC2012-080,Explosion,06/28/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
418,INC2012-081,"Fire, Release of Substance",06/29/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,955000.0
419,INC2012-082,Release of Substance,06/29/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
420,INC2012-083,Explosion,07/04/2012,Alberta,TransCanada PipeLines Limited,Not Applicable,
421,INC2012-084,Explosion,07/04/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
422,INC2012-086,Release of Substance,07/11/2012,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,5.0
423,INC2012-088,Fire,02/02/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
424,INC2012-089,"Release of Substance, Adverse Environmental Effects",07/14/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur Dioxide,
425,INC2012-090,Explosion,07/16/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
426,INC2012-091,Release of Substance,07/18/2012,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
427,INC2012-092,Release of Substance,07/16/2012,New Brunswick,Twin Rivers Paper Company Inc.,Pulp slurry,10.0
428,INC2012-093,Explosion,07/26/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
429,INC2012-095,Explosion,07/27/2012,Saskatchewan,TransCanada PipeLines Limited,Not Applicable,
430,INC2012-097,Fire,07/31/2012,Ontario,TransCanada PipeLines Limited,Not Applicable,
431,INC2012-098,Release of Substance,08/01/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,100.0
432,INC2012-099,Release of Substance,08/03/2012,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,
433,INC2012-100,Release of Substance,08/07/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
434,INC2012-101,Fire,08/09/2012,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
435,INC2012-106,Fire,08/16/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
436,INC2012-107,Release of Substance,08/20/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
437,INC2012-109,Release of Substance,08/21/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
438,INC2012-110,Fire,08/21/2012,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
439,INC2012-111,Release of Substance,08/22/2012,Alberta,TransCanada PipeLines Limited,Natural Gas - Sweet,34.9
440,INC2012-112,Fire,08/23/2012,Saskatchewan,TransCanada PipeLines Limited,Not Applicable,
441,INC2012-113,Release of Substance,08/24/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Mixed HVP Hydrocarbons,
442,INC2012-114,Release of Substance,08/25/2012,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
443,INC2012-115,Release of Substance,08/27/2012,Alberta,Burlington Resources Canada (Hunter) Ltd.,Natural Gas - Sweet,
444,INC2012-116,Release of Substance,08/29/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
445,INC2012-118,Fire,09/07/2012,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
446,INC2012-119,Fire,09/07/2012,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
447,INC2012-120,Release of Substance,09/10/2012,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hydrogen Sulphide,
448,INC2012-121,Release of Substance,09/10/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
449,INC2012-122,Fire,09/12/2012,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
450,INC2012-123,Release of Substance,09/17/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
451,INC2012-124,Release of Substance,09/18/2012,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Natural Gas - Sweet,
452,INC2012-125,Release of Substance,09/18/2012,Ontario,Enbridge Pipelines Inc.,Natural Gas - Sweet,0.001
453,INC2012-127,Release of Substance,09/21/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
454,INC2012-128,"Explosion, Fire",09/21/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
455,INC2012-130,Operation Beyond Design Limits,09/26/2012,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
456,INC2012-131,Release of Substance,09/27/2012,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,10.0
457,INC2012-132,Fire,09/27/2012,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
458,INC2012-133,Release of Substance,09/28/2012,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,5.7
459,INC2012-134,Operation Beyond Design Limits,09/28/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
460,INC2012-135,Fire,09/30/2012,Ontario,TransCanada PipeLines Limited,Not Applicable,
461,INC2012-137,Release of Substance,10/02/2012,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
462,INC2012-138,Release of Substance,10/02/2012,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
463,INC2012-139,Operation Beyond Design Limits,10/03/2012,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
